Node,Y
86990,50
25049,45
96863,34
81889,52
59735,0
40133,35
30319,37
28239,34
39328,42
19656,58
57008,35
53374,29
79521,35
83992,34
24142,34
73744,55
50190,32
61541,51
53383,34
12561,32
10769,35
14134,34
15976,35
83958,55
70202,35
26508,34
93221,21
102819,18
47256,32
29451,35
14160,34
73025,34
73220,35
36419,40
104515,34
12618,35
80181,34
70727,34
1344,34
55433,46
100341,34
10299,34
88745,32
50216,34
9048,35
66867,34
54582,34
4514,48
65583,0
85659,32
77986,34
42250,40
18706,34
19679,55
29502,34
90603,50
24838,35
58614,35
62113,35
87124,34
93223,7
101873,5
21978,35
98994,17
86637,33
2047,50
41949,46
72242,34
85213,40
7533,5
59787,50
29690,50
105489,34
32682,7
5877,34
59244,34
97200,34
71274,35
54242,35
6874,34
79816,50
58907,32
53419,34
104505,35
43127,35
46584,34
67400,50
8633,35
48444,34
47657,50
82248,34
73887,37
53612,3
18098,48
45387,34
5560,34
41103,34
20586,34
98179,35
68224,14
59393,37
2075,34
80221,34
93570,33
5988,34
69303,35
26203,34
101245,34
39394,40
43810,35
22726,34
23842,42
4279,37
66721,50
38103,34
90907,40
102531,34
46011,34
77352,35
65763,58
103337,34
95252,34
83495,34
17137,34
96778,34
76101,34
42471,34
27906,0
49964,34
63970,34
78834,34
105189,34
98588,46
47195,34
15989,52
34948,41
86242,40
61841,5
58412,32
34319,48
68963,36
16727,35
56170,34
2168,37
86183,34
71606,34
60014,32
64418,35
40706,50
21383,34
36565,50
36583,34
21355,34
61103,34
26,7
38590,32
7236,34
99697,50
102236,50
100400,40
1618,34
69550,38
94966,32
11078,35
5706,32
66862,34
55742,50
37391,50
63462,35
1142,34
40930,21
354,45
37866,34
46863,34
13749,34
90914,40
42303,34
17609,35
24337,0
48971,37
36046,40
8359,35
26064,35
24381,32
76334,35
23050,0
27193,32
17377,20
36558,10
44113,46
26478,37
36872,7
81301,34
18058,35
35698,34
42717,34
69211,50
8979,35
15683,34
87525,0
7528,17
26972,48
44742,34
63886,47
63925,34
7637,34
44739,34
69078,17
23843,34
13829,34
44224,46
22393,34
55148,35
97453,18
72846,17
100193,47
37501,34
77661,34
78473,48
41917,46
97717,34
23527,32
40881,35
63471,34
24734,0
28382,34
103682,34
32467,34
98404,34
17360,37
43121,0
46651,35
21731,42
54247,32
23090,32
10170,35
13903,35
14583,34
78784,40
69648,0
51142,34
22856,35
55910,42
21264,32
72305,34
58999,34
9063,35
41309,34
15110,34
47279,50
11999,34
31744,34
28868,35
16344,35
28921,35
82668,41
36893,34
5694,33
22250,34
5899,35
39739,32
14009,34
31409,35
62665,46
104835,56
28844,34
45212,34
54909,32
40044,7
51882,56
17635,34
15878,34
20104,0
82132,34
99848,40
40083,45
43025,35
83059,40
52912,34
20100,34
34796,17
18709,55
21322,50
34620,34
45158,34
35209,34
72296,36
55619,35
89034,45
26022,0
60649,35
60209,50
88699,34
79182,34
90304,35
91541,45
44650,34
87030,34
75948,34
9047,34
72113,20
65163,33
95899,34
78035,34
101414,34
97012,34
27125,40
45876,34
24538,34
7777,34
31821,34
76245,32
708,7
89851,35
64406,35
47636,35
11546,16
101745,34
31205,50
56054,34
51544,32
14908,30
9286,34
56570,50
48892,32
104869,34
34825,48
71179,35
46373,50
84158,34
18000,12
42456,34
86505,34
75405,34
35549,34
80562,34
48333,40
14185,34
96101,32
100178,34
26314,27
47368,40
69208,35
100990,34
71284,34
38871,23
79027,0
20980,35
83128,32
40897,17
84149,45
86643,35
59051,0
86162,40
62474,35
45273,34
25683,35
18195,33
12513,30
90523,50
79661,34
50067,34
44829,34
89525,9
38090,35
26158,34
10194,34
22759,34
92141,34
46090,34
15417,14
46553,34
14093,34
26432,35
32749,0
86331,34
49714,50
65588,18
64021,18
45009,34
71103,32
13639,20
13546,34
97003,0
84802,40
15910,9
70963,35
16130,0
34862,34
17556,28
105501,35
25404,34
95917,35
100154,50
5259,34
91445,46
76740,50
46678,34
6106,34
72657,34
39849,34
36980,34
96093,35
52989,37
3370,17
44458,35
57110,32
72565,0
40752,56
118,35
85143,38
71589,55
3858,58
40799,34
90192,56
88232,29
82111,34
25088,35
33848,37
81756,41
22248,40
36643,50
20864,35
92763,34
74691,36
97704,16
60139,34
46260,45
32165,32
35437,34
99403,32
28049,37
33740,32
51376,34
53581,34
95390,48
88414,34
45742,34
81276,32
66980,35
89763,28
93785,34
1416,7
86360,34
92587,50
83692,28
27712,34
85752,46
51996,32
45966,46
67062,40
45026,35
93826,21
79084,34
48276,34
63193,35
47140,34
72842,34
39963,34
58619,34
20268,34
98848,40
52420,34
53649,35
59420,35
10097,35
87599,34
92293,35
83446,34
34324,56
15642,35
102363,40
29275,21
4436,45
95445,34
56107,34
71827,19
38435,34
509,34
94265,18
44671,34
37671,34
28102,34
76807,34
71735,32
9302,35
20969,34
16476,34
81748,40
91734,34
102406,50
43376,34
28526,34
78331,34
2847,7
68242,6
18576,35
45321,32
17025,34
99063,46
78783,0
42026,34
1838,42
398,30
56565,34
91008,34
71526,58
98051,35
55283,40
55384,34
60972,34
39343,35
53933,34
34000,35
91176,33
52397,33
9119,35
80366,55
10742,52
93161,34
41867,47
79830,40
76802,34
52881,34
10668,34
37704,34
69629,0
405,34
17893,35
130,33
9045,35
4999,34
69949,34
22403,27
37044,34
66737,50
55227,51
68996,35
104547,40
4235,34
16453,34
103777,16
32679,34
83170,35
13007,35
85406,35
2157,40
30974,35
99069,55
38360,50
58793,34
35480,35
98468,55
43483,55
92283,34
3619,32
35891,34
31032,34
46891,18
24056,0
92956,37
95524,50
3458,34
29987,34
67657,34
64582,0
20237,34
52484,50
72904,33
66491,37
95379,34
73165,32
2581,18
66244,50
21732,35
95063,50
34001,48
13562,35
105983,23
4085,26
50708,34
5910,34
42769,50
30412,46
64241,7
83225,41
47869,34
6259,50
96437,45
30467,48
88026,20
55762,34
30292,34
102120,34
24346,0
105922,34
7644,32
103108,37
94410,50
38606,48
4180,48
103370,37
70063,34
35272,37
9160,21
5687,34
13155,34
82541,32
51627,35
73774,49
36571,40
4788,45
97549,55
50490,34
156,35
36209,34
79627,35
18111,46
66502,34
26668,34
55716,34
61571,34
83609,34
66644,34
92002,21
55676,59
68425,34
54828,34
71226,32
23241,35
63934,35
33364,34
74894,35
5920,34
67811,35
77271,41
709,35
949,58
2310,50
44101,34
60744,46
28267,33
44481,34
30145,16
46540,19
72888,7
28266,59
34870,42
15743,32
68190,34
94146,34
103342,50
44291,35
59855,32
71242,9
104275,34
50687,35
27835,35
78490,32
6570,33
85312,34
80792,18
46423,34
63071,37
21236,0
106010,35
91157,32
77229,34
51629,50
27730,34
55009,34
28848,35
27185,35
63082,0
69981,35
5657,35
105708,34
85069,34
83365,50
80823,50
67017,35
67565,48
71923,35
69876,34
98955,35
93446,34
15329,35
45641,34
61249,35
105527,40
64158,7
83745,63
47497,50
104310,32
77477,32
15127,34
2096,37
67390,7
55438,34
102507,34
97149,37
97162,34
15809,7
74598,35
78762,56
57688,33
11591,34
72781,40
92862,34
26402,34
18508,37
90269,34
49296,34
16433,34
22452,7
23118,50
49541,34
4130,50
10525,34
30654,32
96097,34
49487,27
78055,32
35035,48
11037,35
20764,17
46929,34
101608,32
76697,40
43847,34
60709,34
81363,27
93245,35
12298,30
7403,40
79300,34
82744,34
15728,32
60383,35
101523,0
27527,48
38168,34
85534,35
18782,35
98803,16
1893,47
51433,33
57659,35
434,34
79695,37
55957,34
81250,34
42526,34
71566,38
59772,32
6699,20
92101,35
22117,56
99612,35
79383,34
24543,0
102014,34
72299,34
6672,5
70789,35
51006,34
89232,37
103266,34
47238,34
78813,35
80006,34
57663,52
62132,0
95945,32
103213,50
18356,34
12336,35
1240,50
95650,49
5353,35
81559,35
20209,34
96111,50
10038,34
40519,46
38012,37
50034,40
73581,37
44502,34
33121,34
92936,27
61576,34
54527,34
18104,35
18467,32
26108,34
71960,35
105941,34
104437,34
22104,34
88438,32
66500,34
46320,34
26419,35
82750,48
6443,34
105038,34
99651,14
79856,50
42606,50
34347,37
66624,14
83513,34
41083,37
33736,36
94585,35
4034,40
86296,19
78965,34
58715,34
47953,34
10416,34
88974,40
103033,45
41810,7
59829,35
9386,34
56619,7
28108,34
43126,34
54213,37
6647,34
16311,34
69563,34
22002,35
90728,34
89394,34
55562,45
92533,7
22497,35
11272,35
76040,50
13956,35
2069,50
13000,46
55466,35
58925,34
98241,35
42976,37
50448,35
80339,41
18264,35
9107,35
60300,50
18385,35
87491,34
81008,50
71214,52
6442,34
30566,40
101617,7
77766,55
14167,34
104784,50
5199,34
41925,50
95622,12
63767,34
40710,35
89629,34
78328,50
77485,28
40022,34
7672,34
72337,34
69959,34
16631,35
45855,37
105950,34
45689,37
94274,14
92176,50
18138,34
2656,34
51754,34
82553,37
84641,34
24260,32
11345,30
39225,21
93036,34
18503,55
74226,34
62506,46
1944,7
14824,35
74023,35
96581,34
42022,33
65209,35
32635,7
46330,37
89076,50
75321,7
106293,34
77201,32
1825,34
85717,32
18273,35
40938,35
29171,34
40239,37
17512,34
40370,40
52137,50
102056,34
10492,35
12419,30
82979,0
84626,9
70588,40
73061,40
73861,45
57417,35
31447,34
31522,37
33186,34
80658,35
2566,34
93803,34
48439,56
83515,7
53711,34
18712,52
89628,21
62626,35
66215,34
67710,47
70008,35
16183,7
25710,35
46434,34
68684,40
87166,34
66104,7
58218,34
3448,7
69645,34
72366,34
24371,35
39116,35
30661,34
64171,35
9577,12
65602,35
8854,18
14582,0
20534,18
62201,34
42178,50
104905,37
70418,34
63275,35
77877,50
59757,7
94370,50
53012,37
94295,34
38024,50
78990,34
43634,34
322,34
31714,34
17740,55
12274,30
14932,35
15611,35
29503,46
31967,34
101105,35
89372,34
89878,50
39651,34
6851,10
54149,42
23928,16
61555,33
40401,34
41969,46
43237,50
32893,32
3682,35
105946,37
36243,34
52195,28
16552,34
81339,45
3597,32
42410,50
50696,34
58568,37
2200,34
30990,50
92083,32
90479,11
33260,19
52835,34
89873,35
48010,56
48982,50
53545,50
83442,38
40448,34
86253,27
55340,34
75871,13
32979,40
71245,56
37424,16
52797,32
35038,34
92817,34
36219,40
37589,40
100234,35
406,34
97391,37
69346,32
30593,34
55264,46
41828,7
93789,34
82846,34
44560,35
94109,46
73256,45
51016,35
80379,34
52386,35
56004,50
58206,34
21856,0
20484,35
52538,34
32130,34
8631,35
89257,7
11973,34
10405,34
19367,35
84679,37
64004,21
2204,34
21820,35
92987,52
96330,37
44774,18
50070,5
81961,32
70985,32
89370,40
26350,50
50499,34
75491,34
90921,32
21127,34
54313,35
87864,41
60125,34
16726,37
49266,34
57271,35
31312,34
11734,34
32487,34
53565,35
81224,34
11062,35
86177,34
80247,41
38398,34
56918,32
62662,34
100722,40
23461,34
101737,33
92305,7
80238,21
70888,34
53426,50
91574,34
25562,40
85549,35
24524,35
28147,35
868,35
26353,35
96273,34
5838,34
94641,20
82931,46
6326,59
106642,34
32313,57
68417,35
12306,34
7882,10
9628,35
84809,34
98779,23
32323,34
63216,28
12340,34
9548,34
76482,47
91631,7
11812,0
105277,37
93307,7
2474,18
9238,35
75920,37
94646,34
9145,35
45162,34
57705,42
35917,55
47973,34
17674,35
104253,55
11376,58
102272,35
94187,32
82758,34
15202,35
38572,34
23780,34
54039,32
24579,35
70714,35
72564,35
101497,34
22962,34
77334,41
89785,34
44880,34
27507,37
7616,37
60142,35
50685,10
87921,34
99625,34
106696,35
88471,34
7820,48
12415,30
30236,35
86821,34
24340,35
48672,32
45127,34
9712,35
44052,35
42954,33
11683,35
54328,35
63625,21
42128,40
13530,52
69324,35
44400,34
62637,35
66879,34
55494,34
97195,7
27346,34
95385,50
52133,37
63586,35
57062,35
30988,34
44237,3
53972,50
26586,34
75572,34
97466,34
4426,35
9242,35
13276,34
78272,50
44128,47
35301,42
54624,7
6234,0
88661,37
2672,35
70537,55
36642,35
92284,18
35892,37
9958,35
3961,34
75950,34
82857,34
80549,48
106672,45
100844,37
54289,45
57379,35
105498,40
77640,50
104110,35
68104,35
100632,46
30454,34
64618,55
86792,12
77397,35
55526,34
101757,34
61670,32
83604,34
52095,34
80987,35
52103,34
85141,35
38015,37
85458,14
49559,46
51789,34
16060,35
46733,35
9231,35
55,33
34112,35
72101,35
83736,56
3570,34
66711,34
106162,32
98562,32
93122,7
74303,34
47755,34
9722,34
103120,34
32550,34
52402,34
100980,34
23699,32
99141,40
75228,35
46604,32
69140,34
62820,34
84362,7
87234,56
40838,55
2807,34
12675,34
3546,7
63656,34
77722,35
57672,35
92311,7
81291,34
80505,50
853,40
89118,7
41202,7
49405,45
104489,32
1948,32
98019,9
89815,34
38213,34
49533,34
21924,35
46761,50
9738,32
86922,34
49874,32
24246,34
26057,34
43648,7
22971,50
30161,16
49740,34
24674,0
60078,34
75236,32
21110,0
57823,46
83194,9
42728,50
34617,34
15439,35
49642,45
14809,34
29508,34
33432,37
67600,35
36057,35
27522,50
27183,34
21982,35
69019,0
60036,35
98684,35
50915,50
42599,34
85326,37
60299,50
78607,38
11343,0
89604,12
14871,35
42476,34
40636,35
28317,7
7047,45
69176,35
86292,34
43248,55
23654,34
13647,34
91192,35
498,7
3456,34
1183,34
3393,50
58067,34
103463,41
85156,35
47948,34
86918,40
7719,37
1130,40
98863,50
99556,32
94221,34
70670,35
96288,0
67722,34
10790,35
15126,30
47373,34
83627,33
44050,10
26271,50
56295,34
23614,0
20300,35
41100,21
17199,35
32962,32
79289,35
44120,55
53611,34
55524,34
83588,34
25723,34
56439,34
27434,34
2546,35
67549,48
25237,34
66582,34
69671,34
105218,20
96201,37
53944,37
79800,35
47644,46
62591,34
67667,34
100409,35
9720,34
85015,34
98504,9
9212,35
96985,46
44081,9
47282,40
99272,34
71453,35
20072,50
26116,34
12747,34
79527,27
61852,35
83894,45
25680,34
98068,48
66000,20
44195,45
3441,17
33227,35
27192,35
103653,34
47260,34
33361,37
100796,40
90731,34
77510,35
44022,45
1671,34
45230,34
90506,55
30415,34
99614,10
28229,34
58321,34
26858,34
19323,35
103435,35
94937,34
43698,4
80594,34
20404,40
44543,35
16883,32
66973,57
98978,9
6427,35
3408,58
60580,34
26041,34
75591,50
35187,34
52747,34
26526,0
18940,18
103877,34
32140,50
96316,50
64581,35
102906,35
4163,35
12792,45
14806,35
73899,35
68714,19
26077,35
59525,37
62612,34
19181,34
83533,50
42370,34
49156,18
13,14
103528,40
10945,45
14999,30
77852,15
98391,50
41633,34
80027,34
73731,21
57305,34
92449,50
7537,34
68511,47
84447,35
89150,37
94408,40
102084,8
60703,34
27236,45
1728,34
71532,50
35247,21
72718,35
29088,34
35721,34
23669,7
49005,0
76198,0
48854,50
77198,55
65798,34
49189,35
10215,34
34863,20
5134,34
20160,0
59585,32
15106,34
737,50
87488,34
21683,34
52786,51
18761,32
17265,37
76435,50
37875,32
6497,35
32132,35
96428,40
10918,34
75519,34
81099,10
18519,34
65210,32
97667,34
79948,33
33203,34
15888,20
88596,17
83076,17
104839,34
397,32
48580,35
61116,46
72277,50
63699,16
81327,34
5800,33
63513,34
22211,18
47727,34
42627,11
88550,34
69712,34
10767,0
49434,34
23551,37
62040,34
22354,0
92372,36
51031,35
29519,45
97483,47
58230,34
50132,34
78254,35
44160,36
2986,7
18405,34
68649,32
103009,32
30987,7
32531,50
14659,9
26285,0
98986,32
54334,34
25728,37
67537,16
57589,35
45415,34
76135,34
10257,50
64694,34
99353,34
88961,11
604,50
61871,34
11884,32
9502,0
67957,47
78759,35
70558,19
97945,45
10833,34
14274,32
101420,34
14516,34
15284,34
89233,21
99590,34
75449,34
76954,34
66353,34
71435,58
57915,9
25909,34
11525,34
14140,34
34831,9
89198,7
97797,50
22146,35
48671,37
31323,34
65262,37
99283,16
56670,34
69096,34
39227,19
25473,34
25202,33
61637,50
24783,34
32668,34
49810,32
13432,50
37726,7
80307,34
51964,34
96414,0
10254,35
34971,34
62839,34
103404,7
45374,50
102285,18
90429,50
105305,32
62321,35
46719,34
5524,34
25274,35
106305,34
22701,48
47119,35
52772,34
59929,37
89526,34
69128,35
11233,50
49080,46
3276,34
67367,34
36020,35
95415,40
36374,37
97279,0
27834,34
10604,34
72255,41
3181,34
69964,10
92665,34
57952,35
84433,34
47592,34
51309,52
95799,47
81873,34
69359,7
96133,35
50534,34
82241,35
9584,34
94474,50
18772,50
56481,50
33144,35
44375,34
77994,34
90697,45
7748,34
55622,35
18485,35
51276,34
16632,35
12929,52
69471,34
53051,37
75348,35
13550,35
39044,0
59484,34
2572,34
51878,50
37266,34
47878,34
23360,35
27863,34
57095,34
103493,34
60935,34
84160,50
92299,34
62370,50
31508,7
16162,34
103889,34
2749,32
99200,32
47545,10
68617,34
58669,32
45731,20
2890,40
80274,34
67172,34
40552,32
98463,35
17188,34
40723,40
91477,34
105190,34
68517,35
77290,35
35240,48
23109,34
4991,35
36019,35
98778,48
37803,40
29905,34
59762,50
98686,7
67418,47
95418,32
25472,45
34611,37
98843,50
1345,7
6485,58
47205,34
68821,35
106554,40
83825,32
35812,34
3318,34
72294,50
97751,35
1705,35
9664,50
54234,33
99961,34
54236,46
55121,34
38619,21
5652,34
32910,46
102214,34
49729,35
40324,50
67629,1
99605,34
5055,7
49217,34
33475,32
91640,34
32459,37
21649,35
85092,35
15597,34
18226,35
93239,0
90964,16
105683,34
68127,32
68761,34
70474,32
52216,50
49764,60
69617,35
63364,34
50801,34
17505,35
95048,14
27072,42
7499,34
65269,34
77702,34
35694,59
6528,9
60075,35
71963,34
83575,38
94286,34
8239,34
83834,35
80029,34
12257,7
2193,34
77288,34
7230,12
56332,59
80869,32
38384,35
73408,40
71911,50
106632,45
96503,9
77324,50
30716,34
51531,21
55962,34
95408,34
62296,32
11652,30
19833,37
79525,41
90010,34
93437,34
41062,34
27757,50
12044,35
77768,34
89905,34
56693,34
23213,33
51761,45
93783,40
14065,34
35620,18
49666,10
435,34
60762,35
99278,55
11425,30
71191,35
61114,34
92488,34
86904,50
12127,35
94293,46
62782,0
4981,34
27357,34
85569,35
102861,18
99955,0
82450,41
20383,35
3655,34
30590,37
14841,35
10178,32
34724,34
106426,34
78837,34
95602,50
93648,50
79590,35
5182,37
73012,7
37064,37
64252,35
84874,34
36230,34
9370,34
989,34
15802,34
78189,40
80525,34
77752,50
99007,34
38057,50
69281,50
95191,7
77302,48
91417,35
26846,0
80244,41
74558,7
63481,35
19108,0
14473,34
49167,45
102233,34
34985,34
32437,48
84070,34
44724,34
16035,35
37979,35
88565,42
35053,37
39564,50
23091,34
74944,7
69846,35
74048,0
49545,34
35569,34
37885,34
66612,32
58255,50
93996,32
65931,34
39650,7
54114,59
68508,34
79426,40
86157,34
106157,35
7357,34
45610,56
869,34
23375,0
56872,34
7623,21
103776,34
57109,35
53740,34
12390,34
84064,34
74357,32
3925,46
26040,0
54548,37
16165,34
53758,34
35532,34
22529,35
39747,32
18845,34
58697,35
95135,7
92986,50
23017,34
14633,34
82325,41
34780,19
85334,40
45110,45
54292,34
71760,34
117,37
102781,12
9347,35
69702,34
11774,34
89030,35
24436,35
20342,40
3820,34
103857,50
63544,35
81839,37
52678,34
9139,35
10289,32
5845,34
92297,35
38123,34
82299,18
33763,37
26338,35
12811,34
12046,34
100329,34
11479,34
106445,35
58695,35
79883,50
54279,16
65373,35
21810,0
24178,34
27786,6
16501,35
44559,50
56529,34
92422,34
10638,33
74144,34
5482,35
12643,35
105870,18
58143,37
34815,16
16043,34
35011,37
81987,34
60446,34
81092,18
7459,48
52537,35
86558,34
60206,50
48397,10
90739,32
91642,40
93250,34
79242,50
9918,33
36972,34
71543,50
63789,0
12067,35
57431,50
182,10
34316,34
98956,34
99009,46
609,40
18296,34
56110,46
76539,34
8120,40
27743,50
23057,32
58477,37
52589,34
89708,40
62263,35
101127,37
7104,58
28839,35
50519,46
70026,32
333,35
9810,34
33685,9
80149,34
8200,35
31093,34
103241,34
71102,50
2334,7
1306,58
14028,30
15650,33
86344,35
42746,41
74378,0
88911,34
44908,35
83045,10
62788,35
78155,34
47560,35
37688,34
19964,0
104712,50
17843,34
80239,34
89847,34
36119,34
53489,34
56603,35
89971,50
46496,32
92589,34
53017,34
24040,35
81715,40
14591,32
38708,34
104886,34
75892,41
87557,59
53822,45
96435,35
23415,0
16069,35
69987,35
60004,37
32783,34
21111,33
80,34
80814,19
88923,50
65894,34
8156,50
93259,34
34290,7
71613,32
48499,18
60403,34
42797,37
32345,50
44616,35
55244,34
13741,45
98083,34
65637,40
65799,35
11822,34
90759,34
13640,35
78768,35
83747,46
96202,34
71895,34
60172,34
66014,34
20628,34
44244,50
66757,32
79603,34
26390,35
86976,37
1758,35
589,7
91536,34
67625,34
92800,10
37955,35
97150,37
100058,50
41040,50
65805,34
72527,35
72548,34
80659,34
52047,34
91084,34
391,34
50082,34
3132,34
26230,34
36201,45
63119,34
35468,32
86477,34
61860,34
94268,18
13110,35
103455,34
60871,34
93045,7
80112,34
11858,34
43318,34
11730,34
16373,27
45574,35
75364,5
19799,35
55833,45
43553,34
17851,34
62419,0
35125,37
7428,34
14325,21
52154,34
2540,34
39548,7
75564,34
6655,41
110,35
73428,46
85598,34
31986,34
96692,34
66381,34
102156,14
10295,35
85783,35
94363,34
53569,32
50462,34
46911,35
33060,20
83632,34
75531,14
21592,34
15320,27
63318,0
93699,46
98571,34
53854,56
18608,34
105347,34
13864,34
88777,55
36755,35
49049,46
104330,34
76572,35
67744,35
52931,9
28887,32
11022,32
104912,34
54097,56
101170,59
13588,50
77274,52
105994,35
16618,59
103439,34
69175,50
65121,32
103942,35
69991,34
7923,40
52709,34
106341,50
67799,34
248,7
57105,34
37259,40
19928,35
42505,35
3157,34
69552,50
31317,34
74781,7
39616,7
40431,7
33037,34
72062,35
67293,50
93207,16
1904,21
80935,34
37298,33
59835,35
102609,35
45596,34
4825,34
40761,56
60333,40
29539,34
1456,38
101418,16
25768,35
72250,34
48469,35
81222,37
44568,34
72474,35
48460,34
97200,34
45580,50
67501,34
61925,34
104467,34
14431,34
60829,34
16507,0
15105,34
9097,34
58438,35
57975,46
11609,34
103276,34
87547,0
22601,35
93530,34
30453,34
96224,32
38890,41
17160,30
47046,50
85020,33
104204,35
83115,32
91246,37
45108,35
96663,34
52740,32
34933,34
38,32
70030,34
76344,34
6330,50
53124,32
19757,30
784,50
84678,0
80062,34
2448,34
44348,34
16913,0
41345,35
39135,35
73996,37
63732,50
96843,32
103883,51
28696,35
35108,34
16543,35
106270,50
60405,34
23337,34
74411,7
62354,34
12056,46
57698,34
87500,40
28214,18
13529,35
67423,34
36105,34
29580,35
105608,32
68827,34
66686,7
7025,34
40034,51
23540,34
84130,34
3770,34
66553,34
41536,35
65334,21
70375,34
2650,34
103380,34
94811,52
62953,35
66650,34
91347,50
89735,32
11672,55
67334,34
60671,3
5557,40
64313,37
58154,45
93797,34
65184,32
93901,34
26853,34
106558,40
23419,0
100967,34
8868,34
80065,35
69166,50
62047,40
24544,34
28155,35
7675,34
17467,34
1356,32
70835,38
52377,35
47528,34
48647,50
81951,58
24661,7
54785,34
21230,0
2923,50
6245,37
96405,34
21930,34
99097,50
89717,34
70186,34
927,40
21985,33
82666,56
2166,34
16328,34
50301,33
43844,14
3525,40
96435,35
105870,18
87232,35
90682,37
6876,34
98144,35
75542,35
2298,34
8615,34
91532,50
89279,34
29330,42
8927,35
93475,34
37629,33
68800,35
