Node,Feat3,Feat4,Y
0,7,0,35
1,50,0,7
3,22,0,42
4,23,0,37
5,59,0,7
6,0,0,61
7,10,0,40
9,28,0,0
10,23,0,35
11,10,0,35
12,48,0,7
14,9,0,0
16,7,0,0
17,67,0,7
20,9,0,51
21,6,0,59
25,48,0,7
29,39,0,36
31,20,0,32
32,9,0,0
33,9,0,0
37,23,0,37
40,52,0,34
41,21,0,32
42,66,0,34
44,7,0,0
45,9,0,0
46,9,0,0
49,9,0,0
53,44,0,35
54,10,0,35
56,41,0,7
59,9,0,6
63,18,0,32
66,30,0,55
67,23,0,37
71,9,0,0
73,9,0,0
75,23,0,37
77,20,0,35
78,21,0,32
79,11,0,7
82,24,0,0
83,73,0,7
85,10,0,35
87,68,0,58
88,24,0,35
89,39,0,40
91,8,0,12
92,73,0,7
93,20,0,36
94,20,0,40
96,9,0,17
97,91,0,7
98,41,0,34
99,19,0,49
100,47,0,35
101,6,0,59
102,45,0,35
107,28,0,40
108,10,0,6
109,45,0,35
111,30,0,21
112,19,0,45
113,27,0,34
115,19,0,49
116,19,0,46
119,46,0,34
120,23,0,37
123,65,0,34
127,46,0,34
132,7,0,35
133,27,0,32
135,36,0,34
136,36,0,34
137,9,0,35
139,30,0,32
142,9,0,35
144,21,0,52
146,65,0,58
147,69,0,35
148,23,0,37
151,7,0,35
153,12,0,50
155,7,0,49
157,7,0,35
159,60,0,35
162,0,0,30
162,18,0,30
162,19,0,30
163,28,0,51
165,23,0,51
166,9,0,51
168,60,0,35
172,10,0,55
176,10,0,35
178,19,0,45
179,9,0,32
185,30,0,32
187,23,0,37
189,91,0,7
191,20,0,32
193,28,0,36
195,45,0,35
196,9,0,32
197,23,0,37
198,7,0,14
199,20,0,32
200,29,0,46
204,19,0,55
205,23,0,35
206,9,0,51
207,9,0,51
211,9,0,40
212,0,0,59
213,8,0,4
214,41,0,35
217,24,0,35
218,9,0,32
219,30,0,45
220,19,0,46
221,47,0,35
226,30,0,45
227,8,0,38
229,9,0,35
233,19,0,45
234,51,0,36
236,23,0,37
239,87,0,7
240,24,0,35
247,9,0,6
249,24,0,35
250,10,0,21
252,20,0,35
253,21,0,42
258,9,0,35
259,23,0,37
260,57,0,35
261,0,0,52
262,66,0,34
265,91,0,7
268,9,0,32
269,28,0,12
270,10,0,19
272,30,0,7
273,49,0,32
274,20,0,32
278,30,0,45
280,8,0,52
281,20,0,34
282,50,0,34
284,21,0,21
285,28,0,12
286,42,0,34
287,21,0,35
290,20,0,34
291,20,0,34
292,7,0,47
295,30,0,46
296,9,0,0
298,12,0,16
299,8,0,47
301,39,0,50
305,10,0,46
308,10,0,35
310,39,0,40
312,52,0,34
314,39,0,40
318,31,0,57
319,74,0,18
320,34,0,34
321,10,0,35
324,52,0,34
325,42,0,35
326,9,0,35
329,10,0,36
330,19,0,45
331,20,0,32
332,45,0,35
335,40,0,0
336,22,0,14
338,9,0,51
340,65,0,58
342,28,0,36
346,45,0,35
347,9,0,0
349,45,0,35
351,9,0,28
357,47,0,35
359,49,0,33
360,26,0,35
361,7,0,32
362,9,0,51
364,24,0,32
366,23,0,35
368,9,0,51
371,3,0,59
372,9,0,0
373,45,0,35
375,19,0,45
377,20,0,32
378,9,0,35
379,89,0,7
380,20,0,13
381,18,0,39
382,28,0,27
383,30,0,45
384,48,0,19
385,10,0,35
387,28,0,36
392,61,0,18
394,10,0,46
395,10,0,30
399,12,0,28
402,29,0,35
403,30,0,45
404,1,0,60
410,24,0,14
412,23,0,35
414,9,0,32
416,30,0,45
417,52,0,34
418,30,0,45
421,23,0,37
422,20,0,6
423,18,0,32
424,19,0,50
425,31,0,32
427,11,0,55
428,23,0,37
431,49,0,50
432,39,0,58
433,7,0,35
436,43,0,32
437,10,0,35
439,64,0,34
440,63,0,34
443,28,0,36
446,9,0,35
447,41,0,34
448,30,0,32
449,49,0,33
450,50,0,12
451,23,0,37
452,7,0,0
453,24,1,35
456,10,1,35
459,3,1,59
460,29,1,35
461,10,1,35
464,21,1,52
465,28,1,36
466,9,1,55
467,10,1,35
468,74,1,50
469,39,1,20
470,9,1,35
472,29,1,35
473,29,1,35
474,3,1,59
475,43,1,35
476,44,1,35
477,11,1,6
478,59,1,18
480,31,1,35
481,28,1,33
483,28,1,27
484,31,1,35
486,45,1,35
488,9,1,35
489,73,1,7
490,28,1,36
491,47,1,35
492,19,1,41
493,9,1,35
494,29,1,47
496,45,1,35
499,30,1,46
503,37,1,34
507,31,1,34
508,10,1,35
510,38,1,0
512,39,1,40
515,9,1,35
517,47,1,35
518,19,1,46
519,9,1,0
520,47,1,35
522,45,1,35
524,60,1,35
525,10,1,55
529,7,1,0
530,19,1,46
531,50,1,7
535,10,1,35
537,9,1,35
539,61,1,35
541,0,1,35
542,29,1,46
545,29,1,35
547,11,1,55
548,9,1,0
550,30,1,35
552,9,1,0
556,28,1,27
557,68,1,35
560,47,1,35
561,23,1,37
563,30,1,35
565,20,1,32
568,31,1,35
572,30,1,35
574,21,1,10
577,39,1,40
578,47,1,35
579,29,1,35
580,29,1,35
581,21,1,35
582,40,1,35
584,9,1,35
586,1,1,31
588,73,1,7
590,28,1,36
591,45,1,35
595,27,1,34
599,20,1,0
600,27,1,40
602,27,1,35
603,28,1,30
605,45,1,35
607,66,1,34
611,29,1,35
612,9,1,0
613,49,1,0
614,49,1,0
617,20,1,0
618,0,1,35
620,48,1,34
621,50,1,36
624,49,1,0
625,41,1,35
626,19,1,45
627,72,1,7
630,19,1,48
631,29,1,46
635,40,1,34
637,7,1,33
638,63,1,34
641,19,1,12
644,42,1,34
645,7,1,47
647,42,1,34
648,7,1,47
650,73,1,7
654,20,1,35
655,74,1,18
657,27,1,35
658,31,1,35
659,4,1,59
659,19,1,5
660,28,1,36
662,19,1,33
663,48,1,0
668,45,1,35
670,47,1,35
671,27,1,0
672,47,1,35
674,47,1,35
675,7,1,35
679,47,1,35
680,45,1,35
681,40,1,7
682,39,1,18
683,11,1,17
